date,Equity,ReturnDaily,Abs(ReturnDaily),C2LeverageWght,RetDivLev,RetDivLevRoll180,LevSMA7,RetDivLevSMA7,RetDivLevSMA7_180,DB_LeverageWght180,DB_LeverageWghtSMA7180
2020-07-07,66833.3,0.000239459,0.000239459,0.23,0.104112584,0.90685027,0.368571429,0.064969481,1.256973146,0.90685,1.256973
2020-07-08,66910.72,0.001158405,0.001158405,0.45,0.257423237,0.906115664,0.384285714,0.301443568,1.25684035,0.906116,1.25684
2020-07-09,67806.89,0.013393519,0.013393519,0.66,2.029321061,0.917389669,0.42,3.188933097,1.274556645,0.91739,1.274557
2020-07-10,67537.89,-0.003967148,0.003967148,0.66,0.601083102,0.92072902,0.455714286,0.870534147,1.279392946,0.920729,1.279393
2020-07-11,67537.89,0,0,0.66,0,0.906625401,0.491428571,0,1.266631322,0.906625,1.266631
2020-07-12,67537.89,0,0,0.66,0,0.902894314,0.527142857,0,1.263136029,0.902894,1.263136
2020-07-13,66745.59,-0.011731193,0.011731193,0.58,2.022619426,0.908959546,0.557142857,2.105598684,1.269761519,0.90896,1.269762
2020-07-14,67070.59,0.004869236,0.004869236,0.52,0.936391453,0.903310716,0.598571429,0.813476107,1.263515267,0.903311,1.263515
2020-07-15,67147.39,0.001145062,0.001145062,0.59,0.194078346,0.899917495,0.618571429,0.185113988,1.260151775,0.899917,1.260152
2020-07-16,67158.39,0.000163819,0.000163819,0.59,0.027765886,0.90007175,0.608571429,0.02691857,1.260301323,0.900072,1.260301
2020-07-17,67406.21,0.003690083,0.003690083,0.66,0.55910341,0.90317788,0.608571429,0.606351585,1.263669943,0.903178,1.26367
2020-07-18,67406.21,0,0,0.59,0,0.90317788,0.598571429,0,1.263669943,0.903178,1.26367
2020-07-19,67406.21,0,0,0.59,0,0.902623858,0.588571429,0,1.263119245,0.902624,1.263119
2020-07-20,68244.21,0.012432089,0.012432089,0.58,2.143463616,0.909722443,0.588571429,2.112248126,1.270054068,0.909722,1.270054
2020-07-21,67937.68,-0.004491663,0.004491663,0.51,0.880718255,0.908830712,0.587142857,0.765003448,1.268589453,0.908831,1.268589
2020-07-22,67889.68,-0.00070653,0.00070653,0.36,0.196258296,0.897041842,0.554285714,0.127466729,1.25623701,0.897042,1.256237
2020-07-23,67292.22,-0.008800454,0.008800454,0.51,1.725579199,0.906628393,0.542857143,1.621136247,1.265243322,0.906628,1.265243
2020-07-24,67064.22,-0.003388207,0.003388207,0.52,0.651578353,0.910248273,0.522857143,0.648017815,1.268843421,0.910248,1.268843
2020-07-25,67064.22,0,0,0.52,0,0.889497863,0.512857143,0,1.247431644,0.889498,1.247432
2020-07-26,67064.22,0,0,0.52,0,0.874095376,0.502857143,0,1.231998536,0.874095,1.231999
2020-07-27,68015.82,0.014189384,0.014189384,0.73,1.943751294,0.87709228,0.524285714,2.706422101,1.239139806,0.877092,1.23914
2020-07-28,67450.82,-0.008306891,0.008306891,0.72,1.153734855,0.876865204,0.554285714,1.498665894,1.240868284,0.876865,1.240868
2020-07-29,68103.82,0.009681128,0.009681128,0.72,1.344601066,0.863243371,0.605714286,1.59829938,1.228035538,0.863243,1.228036
2020-07-30,68346.01,0.003556188,0.003556188,0.72,0.493915026,0.865987343,0.635714286,0.559400389,1.231143318,0.865987,1.231143
2020-07-31,69277.88,0.013634593,0.013634593,0.56,2.434748673,0.879513725,0.641428571,2.125660311,1.242952542,0.879514,1.242953
2020-08-01,69277.88,0,0,0.56,0,0.86550642,0.647142857,0,1.229054031,0.865506,1.229054
2020-08-02,69277.88,0,0,0.56,0,0.841283974,0.652857143,0,1.205632717,0.841284,1.205633
2020-08-03,69918.69,0.00924985,0.00924985,0.69,1.340557975,0.84290742,0.647142857,1.429336648,1.208057713,0.842907,1.208058
2020-08-04,69922.69,5.72093E-05,5.72093E-05,0.69,0.008291204,0.842264078,0.642857143,0.008899226,1.207450383,0.842264,1.20745
2020-08-05,70207.69,0.00407593,0.00407593,0.68,0.599401492,0.836238721,0.637142857,0.639719978,1.201872652,0.836239,1.201873
2020-08-06,70621.69,0.00589679,0.00589679,0.68,0.867174991,0.84105636,0.631428571,0.933880759,1.207060878,0.841056,1.207061
2020-08-07,69889.89,-0.010362256,0.010362256,0.62,1.671331542,0.850341535,0.64,1.619102432,1.216055891,0.850342,1.216056
2020-08-08,69889.89,0,0,0.62,0,0.83998384,0.648571429,0,1.204188991,0.839984,1.204189
2020-08-09,69889.89,0,0,0.62,0,0.831160545,0.657142857,0,1.19439876,0.831161,1.194399
2020-08-10,69130.29,-0.010868525,0.010868525,0.54,2.012689771,0.832768946,0.635714286,1.70965558,1.193735648,0.832769,1.193736
2020-08-11,68356.1,-0.011198998,0.011198998,0.34,3.293823029,0.846315793,0.585714286,1.9120241,1.199408946,0.846316,1.199409
2020-08-12,69365.49,0.014766641,0.014766641,0.2,7.383320581,0.885982203,0.517142857,2.855427849,1.213887847,0.885982,1.213888
2020-08-13,69747.43,0.005506196,0.005506196,0.07,7.865994624,0.929682173,0.43,1.280510753,1.221001796,0.929682,1.221002
2020-08-14,69671.43,-0.001089646,0.001089646,0.07,1.556636977,0.938330156,0.351428571,0.310061837,1.222724362,0.93833,1.222724
2020-08-15,69671.43,0,0,0.07,0,0.938330156,0.272857143,0,1.222724362,0.93833,1.222724
2020-08-16,69671.43,0,0,0.07,0,0.934433738,0.194285714,0,1.218870295,0.934434,1.21887
